name,location,rating,votes,cost_for_two,online_order,book_table,rest_type,primary_cuisine,price_range
Bakimo,Koramangala 5th Block,3.5,7,850.0,No,No,Casual Dining,Continental,Luxury
Shree Nandini Andhra Mess,Koramangala 5th Block,3.3,5,150.0,No,No,Mess,Andhra,Budget
Malabar Mint,Koramangala 5th Block,3.4,39,700.0,No,No,Casual Dining,Kerala,Luxury
Shaap,Koramangala 5th Block,3.6,207,500.0,Yes,No,Casual Dining,Kerala,High-End
Grills And Tandoor,Koramangala 5th Block,3.7,110,900.0,Yes,Yes,Casual Dining,North Indian,Luxury
Tella Tales,Koramangala 5th Block,4.2,414,700.0,Yes,No,Cafe,Cafe,Luxury
Stoner,Koramangala 5th Block,4.5,2620,500.0,Yes,No,"Dessert Parlor, Cafe",Ice Cream,High-End
California Burrito,Koramangala 5th Block,4.1,1227,400.0,No,No,Quick Bites,Mexican,Medium
Sree Krishna Kafe,Koramangala 5th Block,4.2,972,200.0,Yes,No,Quick Bites,South Indian,Budget
Khawa Karpo,Koramangala 5th Block,4.3,995,350.0,No,No,Quick Bites,Chinese,Medium
Momo Blues,Koramangala 5th Block,,0,200.0,Yes,No,Quick Bites,Chinese,Budget
30 Square,Koramangala 5th Block,4.2,557,400.0,Yes,No,Quick Bites,Tibetan,Medium
IDC Kitchen,Koramangala 5th Block,4.2,52,200.0,No,No,Quick Bites,South Indian,Budget
Leon Grill,Koramangala 5th Block,4.3,171,500.0,Yes,No,Quick Bites,Burger,High-End
Biryanis And More,Koramangala 5th Block,3.7,21,750.0,Yes,No,Quick Bites,Biryani,Luxury
Tibetan Kitchen,Koramangala 5th Block,4.3,246,600.0,Yes,No,Quick Bites,Tibetan,High-End
Side Street Kitchen,Koramangala 5th Block,,0,400.0,No,No,Quick Bites,Kerala,Medium
Atta Galata,Koramangala 5th Block,4.1,209,200.0,No,No,Quick Bites,Bakery,Budget
Subway,Koramangala 5th Block,3.7,219,600.0,Yes,No,"Quick Bites, Food Court",Salad,High-End
Pizza Hut,Koramangala 5th Block,3.7,116,750.0,Yes,No,Quick Bites,Pizza,Luxury
Sonar Bangala,Koramangala 5th Block,3.8,76,500.0,Yes,No,Quick Bites,Bengali,High-End
Madeena Hotel,Koramangala 5th Block,4.0,88,400.0,Yes,No,Quick Bites,North Indian,Medium
Momo Hut,Koramangala 5th Block,4.0,685,250.0,Yes,No,Quick Bites,Chinese,Budget
McDonald's,Koramangala 5th Block,3.8,295,500.0,Yes,No,Quick Bites,Fast Food,High-End
Chaska Bun,Koramangala 5th Block,4.2,166,300.0,Yes,No,Quick Bites,Fast Food,Budget
Mizo Kitchen,Koramangala 5th Block,3.8,27,400.0,No,No,Quick Bites,North Eastern,Medium
Paratha Plaza,Koramangala 5th Block,3.9,41,250.0,Yes,No,Quick Bites,North Indian,Budget
Burger Lounge,Koramangala 5th Block,3.6,75,600.0,Yes,No,Quick Bites,Burger,High-End
Dosa Plaza,Koramangala 5th Block,3.8,140,200.0,Yes,No,Quick Bites,South Indian,Budget
Ganesh Restaurant,Koramangala 5th Block,3.7,51,300.0,Yes,No,Quick Bites,Chinese,Budget
Chetty's Corner,Koramangala 7th Block,3.8,34,250.0,Yes,No,Quick Bites,Fast Food,Budget
Flavour of Himalaya,Koramangala 5th Block,3.7,24,500.0,Yes,No,Quick Bites,Asian,High-End
Kinpeetos,Koramangala 5th Block,3.9,64,300.0,Yes,No,Quick Bites,Lebanese,Budget
The Enav Bowl,Koramangala 5th Block,3.8,20,,No,No,Quick Bites,Healthy Food,Medium
Village Donne Biryani,Koramangala 5th Block,3.3,49,300.0,Yes,No,Quick Bites,Biryani,Budget
Food And You,Koramangala 5th Block,3.8,89,300.0,No,No,Quick Bites,North Indian,Budget
Natuna Seafood House,Koramangala 5th Block,4.1,76,450.0,Yes,No,Quick Bites,Seafood,High-End
The Monalisa Restaurant,Koramangala 5th Block,3.3,4,300.0,Yes,No,Quick Bites,Chinese,Budget
Falafel Bistro,Koramangala 5th Block,3.4,6,300.0,No,No,Quick Bites,Arabian,Budget
Rimo,Koramangala 5th Block,3.9,44,500.0,Yes,No,Quick Bites,Tibetan,High-End
David's Kitchen,BTM,3.6,14,200.0,Yes,No,Quick Bites,North Indian,Budget
Cool Point,Koramangala 5th Block,3.2,7,100.0,No,No,Quick Bites,Juices,Budget
Krupa Sagar,Koramangala 5th Block,3.2,4,300.0,No,No,Quick Bites,North Indian,Budget
Egg House,Koramangala 5th Block,2.9,14,400.0,No,No,Quick Bites,Continental,Medium
Daily & Divine,Koramangala 5th Block,,0,200.0,No,No,Quick Bites,Fast Food,Budget
S.W.A.T Food Truck,Koramangala 5th Block,3.7,21,250.0,No,No,Quick Bites,American,Budget
Dry Dock Cafe,Koramangala 5th Block,3.6,10,200.0,No,No,Quick Bites,Street Food,Budget
SNACKOMATE,Koramangala 5th Block,,0,300.0,Yes,No,Quick Bites,Fast Food,Budget
Lime Twist,Koramangala 5th Block,,0,150.0,Yes,No,Quick Bites,Fast Food,Budget
Eat Sleep Eat Repeat,Koramangala 5th Block,3.5,16,200.0,Yes,No,Quick Bites,Chinese,Budget
Malabar Xpress,Koramangala 5th Block,,0,300.0,Yes,No,Quick Bites,South Indian,Budget
Biryani Foodies,Koramangala 5th Block,3.1,7,500.0,Yes,No,Quick Bites,Biryani,High-End
Rolls On Wheel,Koramangala 5th Block,3.0,18,300.0,No,No,Quick Bites,Fast Food,Budget
Jayanthi Sagar,Koramangala 5th Block,3.1,21,200.0,No,No,Quick Bites,South Indian,Budget
Kanha's Kafe,Koramangala 5th Block,3.5,12,200.0,No,No,Quick Bites,Awadhi,Budget
Indian Gola Co.,Koramangala 5th Block,,0,200.0,No,No,Quick Bites,Fast Food,Budget
FrostBite,Koramangala 5th Block,3.5,15,400.0,No,No,"Dessert Parlor, Quick Bites",Desserts,Medium
Lets cafe,Koramangala 5th Block,3.5,6,250.0,No,No,Quick Bites,Chinese,Budget
Ande Ka Funda,Koramangala 5th Block,3.2,9,250.0,No,No,Quick Bites,North Indian,Budget
FNC Seafood,Koramangala 5th Block,,0,400.0,No,No,Quick Bites,Seafood,Medium
Sids Cafe,Koramangala 5th Block,,0,200.0,Yes,No,Quick Bites,Fast Food,Budget
Ascharya Hotel,Koramangala 5th Block,3.4,11,300.0,Yes,No,Quick Bites,Mangalorean,Budget
Namma Biriyani,Koramangala 5th Block,3.7,17,250.0,Yes,No,Quick Bites,Biryani,Budget
Tapri By The Corner,Koramangala 5th Block,4.1,205,250.0,Yes,No,Quick Bites,Fast Food,Budget
Sulaimani Chai,Koramangala 5th Block,3.8,21,100.0,No,No,Quick Bites,Fast Food,Budget
Calvin's,Koramangala 5th Block,3.8,433,800.0,Yes,No,"Dessert Parlor, Quick Bites",Desserts,Luxury
Sri Ganesh Juice Corner,Koramangala 5th Block,3.0,9,150.0,No,No,Quick Bites,Juices,Budget
Domino's Pizza,Koramangala 5th Block,,0,400.0,Yes,No,Quick Bites,Pizza,Medium
The Bier Library,Koramangala 6th Block,4.3,563,2000.0,Yes,Yes,"Microbrewery, Casual Dining",Continental,Luxury
Koramangala Social,Koramangala 7th Block,4.6,4694,1500.0,Yes,No,Lounge,American,Luxury
Bombay Adda,Koramangala 7th Block,4.4,2362,1100.0,No,Yes,"Casual Dining, Bar",Modern Indian,Luxury
The Hole in the Wall Cafe,Koramangala 4th Block,4.6,7122,600.0,No,No,Cafe,Cafe,High-End
Fenny's Lounge And Kitchen,Koramangala 7th Block,4.6,6372,1600.0,No,Yes,"Bar, Casual Dining",Mediterranean,Luxury
Prost Brew Pub,Koramangala 4th Block,4.5,7854,1800.0,No,Yes,"Pub, Microbrewery",American,Luxury
The Fixx,Koramangala 4th Block,4.3,217,1200.0,No,Yes,"Casual Dining, Bar",Continental,Luxury
Foxtrot - House of Subculture,Koramangala 3rd Block,4.4,373,1000.0,No,Yes,"Cafe, Lounge",Cafe,Luxury
Onesta,Koramangala 4th Block,4.4,9079,600.0,Yes,Yes,"Casual Dining, Cafe",Pizza,High-End
Barbeque Nation,Koramangala 1st Block,4.7,3628,1600.0,No,Yes,Casual Dining,North Indian,Luxury
Roots,Koramangala 1st Block,4.5,1889,1200.0,Yes,Yes,"Casual Dining, Bar",North Indian,Luxury
Gramin,Koramangala 7th Block,4.3,3459,600.0,Yes,No,Casual Dining,North Indian,High-End
The Terrace at Gilly's Redefined,Koramangala 4th Block,4.6,890,1400.0,No,Yes,"Microbrewery, Casual Dining",Continental,Luxury
Punjab Bistro,Koramangala 7th Block,4.4,459,1500.0,Yes,Yes,"Casual Dining, Bar",North Indian,Luxury
Nasi And Mee,Koramangala 4th Block,4.4,2394,1000.0,Yes,Yes,Casual Dining,Malaysian,Luxury
Myu Bar at Gilly's Redefined,Koramangala 4th Block,4.5,1231,1200.0,No,Yes,"Microbrewery, Bar",American,Luxury
Third Wave Coffee Roasters,Koramangala 4th Block,4.4,1225,800.0,No,No,Cafe,Cafe,Luxury
By The Blue - Grand Mercure,Koramangala 3rd Block,4.1,786,1500.0,No,Yes,Casual Dining,North Indian,Luxury
Sotally Tober,Koramangala 4th Block,4.4,4081,1200.0,No,Yes,"Bar, Casual Dining",Asian,Luxury
Toscano,Koramangala 7th Block,4.5,718,1500.0,Yes,Yes,Casual Dining,Italian,Luxury
1522 - The Pub,Koramangala 4th Block,4.2,1741,1400.0,No,Yes,Pub,Chinese,Luxury
Zee5 Loft,Koramangala 6th Block,4.4,362,500.0,Yes,No,Cafe,Cafe,High-End
The Old Fashioned Bar,Koramangala 6th Block,4.5,571,1000.0,No,Yes,Bar,Finger Food,Luxury
Blue Tokai Coffee Roasters,Koramangala 8th Block,4.0,75,400.0,Yes,No,Cafe,Cafe,Medium
B-hive,Koramangala 1st Block,4.3,1551,1200.0,No,Yes,Pub,Finger Food,Luxury
Harry's Bar + Cafe,Koramangala 7th Block,4.2,1367,1400.0,Yes,Yes,"Casual Dining, Bar",Asian,Luxury
Pasta Street,Koramangala 4th Block,4.5,261,1300.0,Yes,Yes,Casual Dining,Italian,Luxury
The Smoke Co.,Koramangala 6th Block,4.4,523,2500.0,Yes,Yes,Casual Dining,American,Luxury
Barleyz,Koramangala 6th Block,3.7,4652,2000.0,No,No,"Lounge, Microbrewery",North Indian,Luxury
China Pearl,Koramangala 6th Block,4.4,1854,1100.0,Yes,Yes,Casual Dining,Chinese,Luxury
Salt - Indian Restaurant Bar & Grill,Koramangala 7th Block,4.4,681,1500.0,Yes,Yes,Casual Dining,North Indian,Luxury
Bistro Claytopia,Koramangala 1st Block,4.1,1855,600.0,Yes,Yes,Cafe,Cafe,High-End
The Beer Cafe,Koramangala 4th Block,4.2,1176,1300.0,Yes,Yes,Pub,Finger Food,Luxury
Cafe Thulp,Koramangala 1st Block,4.1,3006,1000.0,Yes,No,Cafe,Cafe,Luxury
Cheers Pub Bar & Restro,Koramangala 4th Block,,0,1100.0,No,Yes,"Pub, Bar",Continental,Luxury
Mr. Beans - Home Cafe,Koramangala 3rd Block,4.2,2714,1000.0,Yes,Yes,Cafe,Cafe,Luxury
Dialogues,Koramangala 4th Block,4.1,314,600.0,No,No,Cafe,Cafe,High-End
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,4.4,1808,1000.0,Yes,Yes,Casual Dining,Vietnamese,Luxury
Koshe Kosha,Koramangala 1st Block,4.0,576,600.0,Yes,No,Casual Dining,Bengali,High-End
Pot-O-Noodles,Koramangala 4th Block,4.3,164,800.0,No,Yes,Casual Dining,Chinese,Luxury
Stoked!,Koramangala 4th Block,4.3,294,850.0,No,No,Cafe,Cafe,Luxury
Mimansa @ Foxtrot,Koramangala 3rd Block,4.4,192,1000.0,Yes,Yes,Cafe,Cafe,Luxury
Anjappar,Koramangala 4th Block,3.9,1160,650.0,No,No,Casual Dining,Chettinad,High-End
Baba Chatkora,Koramangala 6th Block,4.2,823,1000.0,Yes,No,Casual Dining,North Indian,Luxury
Bob's Bar,Koramangala 7th Block,,0,1000.0,No,No,"Bar, Casual Dining",South Indian,Luxury
Bundar,Koramangala 6th Block,4.1,2449,700.0,No,No,Cafe,Cafe,Luxury
Via Milano,Koramangala 4th Block,4.2,1626,1500.0,Yes,Yes,Casual Dining,Salad,Luxury
Lot Like Crepes,Koramangala 7th Block,4.6,1026,550.0,Yes,No,"Cafe, Dessert Parlor",Cafe,High-End
Oldtown Dilli,Koramangala 4th Block,4.1,258,750.0,Yes,Yes,Casual Dining,Mughlai,Luxury
Nandhana Palace,Koramangala 4th Block,4.1,811,800.0,No,Yes,"Casual Dining, Bar",Andhra,Luxury
Carrots,Koramangala 6th Block,4.1,601,1100.0,Yes,Yes,Casual Dining,Italian,Luxury
Magnolia,Koramangala 3rd Block,4.1,674,900.0,Yes,Yes,Casual Dining,Chinese,Luxury
Anupam's Coast II Coast,Koramangala 6th Block,4.1,845,700.0,Yes,No,Casual Dining,Seafood,Luxury
Enerjuvate Studio & Cafe,Koramangala 4th Block,4.4,466,800.0,Yes,Yes,Cafe,Cafe,Luxury
Tibetan Mother's Kitchen,Koramangala 7th Block,4.0,960,500.0,Yes,No,Casual Dining,Tibetan,High-End
Attic Lounge,Koramangala 4th Block,4.0,1238,700.0,Yes,Yes,Cafe,Cafe,Luxury
Bhojohori Manna,Koramangala 6th Block,4.1,1962,650.0,Yes,No,Casual Dining,Bengali,High-End
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,4.0,151,1100.0,Yes,Yes,Casual Dining,Continental,Luxury
Oye Amritsar,Koramangala 6th Block,4.0,1864,600.0,Yes,Yes,Casual Dining,North Indian,High-End
Sathya's,Koramangala 3rd Block,4.1,759,1200.0,No,Yes,Bar,North Indian,Luxury
Mayur,Hosur Road,3.7,21,700.0,Yes,Yes,Casual Dining,Andhra,Luxury
Gudguda Prime Cafe,Koramangala 6th Block,4.2,818,800.0,No,Yes,Cafe,Cafe,Luxury
The Local - Terrace Drinkery,Koramangala 6th Block,4.0,1408,1000.0,No,No,"Pub, Casual Dining",Continental,Luxury
Cafe Terra,Koramangala 1st Block,4.1,778,700.0,Yes,No,Cafe,Cafe,Luxury
Baba Da Dhaba,Koramangala 7th Block,4.1,450,650.0,No,Yes,Casual Dining,North Indian,High-End
Petoo,Koramangala 1st Block,3.8,178,800.0,Yes,No,Casual Dining,North Indian,Luxury
Patiala Highway,Koramangala 6th Block,3.7,32,700.0,Yes,No,Casual Dining,North Indian,Luxury
Eagles Pizza,Koramangala 7th Block,3.8,19,400.0,Yes,No,Casual Dining,Pizza,Medium
Banjara Melting Pot,Koramangala 4th Block,4.2,767,1700.0,Yes,Yes,Casual Dining,North Indian,Luxury
52 Wall Street,Koramangala 6th Block,3.9,740,1400.0,No,No,"Bar, Casual Dining",American,Luxury
Pipabu,Koramangala 4th Block,3.8,75,750.0,Yes,No,Casual Dining,Continental,Luxury
PagalKhana,Koramangala 4th Block,3.9,144,1000.0,Yes,Yes,Casual Dining,Continental,Luxury
154 Breakfast Club,Koramangala 3rd Block,4.0,1515,900.0,Yes,Yes,Cafe,Cafe,Luxury
154 Breakfast Club,Koramangala 3rd Block,4.0,1515,900.0,Yes,Yes,Cafe,Cafe,Luxury
Sharma's Malai & Masala,Koramangala 1st Block,4.0,457,650.0,Yes,No,Casual Dining,North Indian,High-End
Johnny Fox,Hosur Road,3.9,70,1500.0,No,No,Bar,North Indian,Luxury
The Vacationer's Cafe,Koramangala 7th Block,4.1,306,600.0,Yes,No,Cafe,Cafe,High-End
Kargeens,Koramangala 6th Block,4.1,992,600.0,Yes,No,Cafe,Cafe,High-End
Qube Cafe,Koramangala 4th Block,4.2,169,700.0,Yes,No,Cafe,Cafe,Luxury
Swathi Maharaja,Koramangala 4th Block,3.7,291,750.0,Yes,Yes,Casual Dining,Andhra,Luxury
Terra Bites,Koramangala 4th Block,4.1,65,700.0,Yes,No,"Cafe, Casual Dining",Cafe,Luxury
Rajdhani Thali Restaurant,Koramangala 7th Block,4.0,797,900.0,Yes,Yes,Casual Dining,North Indian,Luxury
Cilantro,Koramangala 4th Block,4.0,281,1500.0,Yes,Yes,"Casual Dining, Bar",European,Luxury
Mustard Cafe,Koramangala 3rd Block,4.1,894,800.0,Yes,No,Cafe,Cafe,Luxury
Sutra Spice-The Resto Bar,Koramangala 4th Block,3.9,34,1000.0,No,No,Bar,South Indian,Luxury
JukeBox,Koramangala 7th Block,3.9,282,1000.0,No,Yes,"Casual Dining, Bar",Continental,Luxury
Akshaya Bar And Restaurant,Koramangala 1st Block,,0,600.0,Yes,No,"Casual Dining, Bar",North Indian,High-End
The Rendezvous,Koramangala 4th Block,3.7,483,800.0,Yes,No,Casual Dining,Continental,Luxury
White Fog,Koramangala 6th Block,,0,800.0,No,No,Cafe,Cafe,Luxury
Fabindia Cafe,Koramangala 2nd Block,4.2,226,200.0,No,No,Cafe,Cafe,Budget
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,3.9,598,1200.0,Yes,Yes,Bar,Finger Food,Luxury
Smoke - The Sizzler House,Koramangala 7th Block,4.0,1390,1100.0,Yes,Yes,Casual Dining,Continental,Luxury
China Bowl,Koramangala 6th Block,3.9,457,1000.0,Yes,No,Casual Dining,Chinese,Luxury
Zingron,Koramangala 7th Block,4.0,515,750.0,Yes,No,Casual Dining,Chinese,Luxury
The Arabesque Cafe,Koramangala 4th Block,4.1,100,600.0,No,No,Casual Dining,American,High-End
Aalishan Restaurant & Caterer,Koramangala 7th Block,3.5,889,650.0,Yes,No,Casual Dining,North Indian,High-End
Dalma,Koramangala 6th Block,3.9,475,600.0,Yes,No,Casual Dining,Oriya,High-End
Gorilla Barfare,Koramangala 6th Block,4.2,270,1400.0,No,No,"Pub, Casual Dining",Continental,Luxury
Axomi - Taste of Assam,Koramangala 7th Block,4.1,616,500.0,Yes,No,Casual Dining,Assamese,High-End
Punjabi Nawabi,Koramangala 1st Block,4.0,108,500.0,Yes,No,Casual Dining,North Indian,High-End
Saara's Cafe - SS Lumina Hotel,Koramangala 7th Block,4.2,117,800.0,No,Yes,Casual Dining,North Indian,Luxury
Tata Cha,Koramangala 7th Block,3.6,32,500.0,Yes,No,Cafe,Cafe,High-End
Smise,Koramangala 4th Block,4.0,1209,650.0,No,No,Cafe,Cafe,High-End
Vitamin Palace,Koramangala 7th Block,4.1,172,650.0,No,No,Cafe,Cafe,High-End
TRIGEREATO,Koramangala 8th Block,4.4,103,700.0,Yes,Yes,Cafe,Cafe,Luxury
Tetto,Koramangala 1st Block,3.7,130,1200.0,Yes,No,"Casual Dining, Bar",Continental,Luxury
The Food Therapy,Koramangala 1st Block,,0,1000.0,No,No,"Casual Dining, Bar",North Indian,Luxury
Go Italia,Koramangala 6th Block,4.0,782,750.0,Yes,No,Casual Dining,Italian,Luxury
The Yogisthaan Cafe,Koramangala 2nd Block,4.1,61,600.0,Yes,No,Cafe,Cafe,High-End
Polamma's Mess,Koramangala 7th Block,3.7,25,300.0,No,No,Mess,North Indian,Budget
Smokey Tribe Restaurant,Koramangala 7th Block,3.8,267,650.0,Yes,No,Casual Dining,North Eastern,High-End
Jimi's Beer Cafe,Koramangala 6th Block,3.8,674,1700.0,No,No,Pub,American,Luxury
12th Main - Grand Mercure,Koramangala 3rd Block,4.1,354,2000.0,No,Yes,Fine Dining,European,Luxury
Maxpresso,Koramangala 7th Block,4.1,324,700.0,No,No,Cafe,Cafe,Luxury
Bangaliana,Koramangala 7th Block,3.9,454,600.0,Yes,No,Casual Dining,Bengali,High-End
Chai Point,Koramangala 6th Block,4.0,293,250.0,No,No,"Beverage Shop, Quick Bites",Tea,Budget
Saara's Grill n Spice - SS Lumina Hotel,Koramangala 7th Block,4.3,106,1000.0,No,Yes,Casual Dining,North Indian,Luxury
Fandom at Gilly's Redefined,Koramangala 4th Block,3.9,107,1500.0,No,No,Bar,Finger Food,Luxury
Barbeque Station,Koramangala 7th Block,2.8,152,700.0,Yes,No,Casual Dining,North Indian,Luxury
Mars Chicken Delight,Koramangala 1st Block,3.7,107,500.0,No,No,Casual Dining,North Indian,High-End
Embers - Nandhana Grand Hotel,Koramangala 6th Block,3.8,38,900.0,No,No,Casual Dining,North Indian,Luxury
Black Kitchen,Koramangala 6th Block,3.7,26,400.0,Yes,No,Quick Bites,Kerala,Medium
Hotel Parampare,Koramangala 7th Block,2.9,13,600.0,Yes,No,Casual Dining,North Indian,High-End
Chaat Street,Koramangala 6th Block,3.9,293,250.0,Yes,No,Kiosk,Street Food,Budget
Grand Gowdru Hotel,Koramangala 6th Block,3.4,31,700.0,Yes,No,Casual Dining,South Indian,Luxury
Pingara,Koramangala 1st Block,3.8,94,600.0,Yes,No,Casual Dining,North Indian,High-End
Hakka Chinese Restaurant,Koramangala 1st Block,3.9,332,600.0,Yes,No,Casual Dining,Chinese,High-End
Gam's Delicacy,Koramangala 7th Block,4.2,325,800.0,Yes,Yes,Casual Dining,North Indian,Luxury
Cafe Noir,Koramangala 7th Block,,0,1500.0,Yes,No,Casual Dining,European,Luxury
Mustard Food Court,Koramangala 3rd Block,3.6,165,500.0,Yes,No,Casual Dining,North Indian,High-End
Hotel Tom's Restaurant,Koramangala 6th Block,4.0,69,1000.0,Yes,No,Casual Dining,Mangalorean,Luxury
Punjabi Chulha,Koramangala 1st Block,3.8,38,500.0,Yes,No,Casual Dining,North Indian,High-End
Delicacy,Koramangala 4th Block,3.9,523,500.0,Yes,No,Casual Dining,Chinese,High-End
Banana Beach Bar,Koramangala 6th Block,3.7,1015,1300.0,Yes,Yes,Bar,Continental,Luxury
Bansuri Sweets,Koramangala 6th Block,3.7,73,250.0,No,No,"Sweet Shop, Quick Bites",Mithai,Budget
Breaktime Brew,Koramangala 7th Block,3.7,24,550.0,Yes,No,Cafe,Cafe,High-End
Cashmere Nites,Koramangala 6th Block,3.5,74,600.0,Yes,No,Casual Dining,Kashmiri,High-End
Momo Rice Noodles,Ejipura,3.8,222,600.0,Yes,No,Casual Dining,Chinese,High-End
Kerala Mess. SIJI's MESS,Ejipura,,0,100.0,No,No,Mess,Kerala,Budget
Maria's Goan Kitchen,Koramangala 7th Block,3.9,395,750.0,Yes,No,Casual Dining,Goan,Luxury
Entropy Cafe,Koramangala 6th Block,4.1,507,600.0,Yes,No,Cafe,Cafe,High-End
Hungry Travellers Cafe,Koramangala 4th Block,3.8,27,450.0,No,No,Cafe,Cafe,High-End
Mast Kalandar,Koramangala 4th Block,2.5,547,450.0,No,No,Casual Dining,North Indian,High-End
V.S. Garden Restaurant,Ejipura,3.5,17,800.0,No,No,Casual Dining,North Indian,Luxury
Mayura Grand,Koramangala 6th Block,3.5,20,400.0,No,No,Casual Dining,South Indian,Medium
Barcode,Koramangala 4th Block,3.8,170,1300.0,No,Yes,Bar,South Indian,Luxury
Eshmeet Da Dhaba,Koramangala 6th Block,3.1,121,500.0,Yes,No,Casual Dining,North Indian,High-End
A2B - Adyar Ananda Bhavan,Koramangala 7th Block,2.7,249,400.0,Yes,No,Casual Dining,South Indian,Medium
Helloo Delhi,Koramangala 4th Block,4.1,221,1000.0,Yes,Yes,Casual Dining,North Indian,Luxury
Selfie Cafe,Koramangala 7th Block,3.7,19,300.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
The Golden Spoon Restaurant Meat & Wine,Koramangala 7th Block,3.5,14,1000.0,No,No,Casual Dining,Chinese,Luxury
Cafe On The Way,Koramangala 3rd Block,4.0,275,500.0,Yes,No,Cafe,Cafe,High-End
Uday Sweets,Koramangala 6th Block,3.5,34,250.0,Yes,No,Sweet Shop,Mithai,Budget
Vasudev Adiga's,Koramangala 4th Block,2.8,289,250.0,No,No,Casual Dining,South Indian,Budget
Imperial Restaurant,Koramangala 6th Block,3.6,243,800.0,Yes,No,Casual Dining,Seafood,Luxury
Silsila,Koramangala 4th Block,2.7,47,800.0,No,No,Casual Dining,North Indian,Luxury
Oil Pump,Koramangala 6th Block,3.7,68,1000.0,No,No,Bar,Finger Food,Luxury
Malabar Mandra,Koramangala 1st Block,3.6,45,700.0,Yes,No,Casual Dining,Kerala,Luxury
Hotel Food Lands,Koramangala 7th Block,3.8,57,700.0,Yes,No,Casual Dining,Seafood,Luxury
Daawat Restaurant Bar & Pub,Koramangala 7th Block,3.5,9,700.0,Yes,No,"Bar, Casual Dining",Finger Food,Luxury
Samavar,Koramangala 6th Block,3.4,7,1000.0,No,No,Casual Dining,North Indian,Luxury
Tattva Cafe,Koramangala 6th Block,2.8,227,450.0,No,No,Cafe,Cafe,High-End
Skywalk Restobar,Koramangala 1st Block,3.3,5,700.0,No,No,"Casual Dining, Bar",North Indian,Luxury
Raj Darbar,Koramangala 6th Block,3.7,47,800.0,Yes,No,Casual Dining,North Indian,Luxury
Ocean,Koramangala 6th Block,3.8,215,700.0,Yes,No,Casual Dining,Mexican,Luxury
Elmas Restaurant,Koramangala 7th Block,3.4,34,650.0,Yes,No,Casual Dining,North Indian,High-End
Gallop Bar - Davanam Sarovar Portico Suites,Koramangala 2nd Block,3.5,11,1600.0,No,No,Lounge,Finger Food,Luxury
Manchow,,,0,,No,No,,Unknown,Medium
Primal,Koramangala 6th Block,3.0,25,2300.0,No,No,Bar,Finger Food,Luxury
4S Bar,Koramangala 4th Block,,0,800.0,No,No,Casual Dining,North Indian,Luxury
King Dine Family Restaurant,Nagarbhavi,,0,500.0,No,No,Casual Dining,Chinese,High-End
7 Star Biryani,Koramangala 6th Block,3.2,15,250.0,Yes,No,,Biryani,Budget
Gangothri Veg Restaurant,Koramangala 6th Block,3.7,93,300.0,Yes,No,Quick Bites,North Indian,Budget
CHAAI BEE,Koramangala 7th Block,3.5,8,250.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
Happy Plate,Koramangala 6th Block,3.6,54,400.0,No,No,Quick Bites,North Indian,Medium
Samrat Regency Bar And Restaurant,Koramangala 6th Block,3.8,29,800.0,No,No,Bar,North Indian,Luxury
Juice Point,Koramangala 1st Block,3.2,6,100.0,No,No,"Beverage Shop, Quick Bites",Juices,Budget
The Local - Burger Bar,Koramangala 6th Block,3.8,152,1500.0,No,No,"Pub, Casual Dining",American,Luxury
Loca Moca,Koramangala 1st Block,3.7,46,600.0,No,No,Cafe,Cafe,High-End
Malnad Military Hotel,Koramangala 7th Block,3.8,40,500.0,No,No,Casual Dining,South Indian,High-End
G Resto Cafe,Koramangala 4th Block,3.3,4,400.0,No,No,Cafe,Cafe,Medium
Fetchpod Cafe,Koramangala 6th Block,2.9,12,500.0,No,No,Cafe,Cafe,High-End
Urban Spice,Ejipura,3.6,23,800.0,Yes,No,Casual Dining,North Indian,Luxury
Om's Cafe Prana,Koramangala 7th Block,3.6,17,300.0,No,No,Cafe,Cafe,Budget
Tirumala Mess,Koramangala 1st Block,,0,300.0,No,No,Mess,Andhra,Budget
Hit And Run,Koramangala 4th Block,,0,300.0,No,No,Delivery,Chinese,Budget
Jee Aaya Nu Punjabi Dhaba,Koramangala 4th Block,,0,350.0,No,No,Dhaba,North Indian,Medium
Hotel Kaara Chaaram,Koramangala 7th Block,,0,500.0,No,No,Casual Dining,South Indian,High-End
Idly PIdly,Koramangala 1st Block,,0,200.0,No,No,Quick Bites,South Indian,Budget
Kebarbiq,Koramangala 7th Block,4.0,138,800.0,No,No,Casual Dining,North Indian,Luxury
M World Cafe,Koramangala 1st Block,3.5,14,500.0,Yes,No,Cafe,Cafe,High-End
Harilal ka Bihari Dhaba,Koramangala 1st Block,,0,250.0,Yes,No,Dhaba,North Indian,Budget
Ambur Biryani Mess,Koramangala 6th Block,3.4,18,250.0,No,No,Mess,Biryani,Budget
H3O,Koramangala 4th Block,3.3,4,1000.0,No,No,Bar,North Indian,Luxury
Chaman's Night Kitchen,Koramangala 8th Block,3.5,11,400.0,No,No,,North Indian,Medium
